point,name,latitude,longitude,color
point,New Rochelle High School,40.9293,-73.7952,orange
point,Ossining High School,41.16,-73.8601,orange
point,Peekskill High School,41.2878,-73.9176,orange
point,Pelham Memorial High School,40.902,-73.8086,orange
point,Pleasantville High School,41.1346,-73.7837,orange
point,Port Chester Senior High School,41.0117,-73.6789,orange
point,Blind Brook High School,41.0318,-73.6746,orange
point,Rye High School,40.973,-73.687,orange
point,Rye Neck Senior High School,40.9607,-73.7122,orange
point,Scarsdale Senior High School,40.995,-73.793,orange
point,Somers Senior High School,41.312,-73.7143,orange
point,Greenburgh Academy,40.9505,-73.8862,orange
point,Reach Academy (the),41.0381,-73.7484,orange
point,Clark Academy,41.0062,-73.8806,orange
point,Sleepy Hollow High School,41.0836,-73.8572,orange
point,Tuckahoe High School,40.9428,-73.8124,orange
point,Valhalla High School,41.0916,-73.7761,orange
point,White Plains Senior High School,41.02,-73.7378,orange
point,Riverside High School,40.9558,-73.8962,orange
point,Gorton High School,40.95,-73.8889,orange
point,Lincoln High School,40.9221,-73.8742,orange
point,Roosevelt High School - Early College Studies,40.9549,-73.8439,orange
point,Saunders Trades & Technical High School,40.9435,-73.8704,orange
point,Yonkers High School,40.9266,-73.8858,orange
point,Yonkers Middle School,40.9266,-73.8858,orange
point,Palisade Preparatory School,40.9403,-73.8933,orange
point,Yorktown High School,41.2927,-73.8036,orange
